"","Species","GrowthHabit","GrowthHabitSub","Duration"
"524","LODI","Non-Woody","Forb/Herb","Perennial"
"525","LAGL5","Non-Woody","Forb/Herb","Annual"
"526","RUOC2","Non-Woody","Forb/Herb","Perennial"
"527","POFE","Non-Woody","Graminoid","Perennial"
"528","ARCA2","Non-Woody","Forb/Herb","Perennial"
"529","ARCO","Non-Woody","Forb/Herb","Perennial"
"530","LUAR6","Non-Woody","Forb/Herb","Perennial"
"531","CAGE2","Non-Woody","Graminoid","Perennial"
"532","CRIN9","Non-Woody","Forb/Herb","Perennial"
"533","PELA7","Non-Woody","Forb/Herb","Perennial"
"534","ERBO","Non-Woody","Forb/Herb","Annual"
"535","SAAE","Non-Woody","Forb/Herb","Annual"
"536","ERWI","Non-Woody","Forb/Herb","Annual"
"537","POGL9","Non-Woody","Forb/Herb","Perennial"
"538","ACMIO","Non-Woody","Forb/Herb","Perennial"
"539","ERFO2","Non-Woody","Forb/Herb","Perennial"
"540","CAMI12","Non-Woody","Forb/Herb","Perennial"
"541","GR09",NA,NA,NA
"542","POCO","Non-Woody","Graminoid","Perennial"
"543","SOCAS","Non-Woody","Forb/Herb","Perennial"
"544","ARCOC","Non-Woody","Forb/Herb","Perennial"
"545","ASMA6","Non-Woody","Forb/Herb","Perennial"
"546","ALLE7","Non-Woody","Forb/Herb","Annual"
"547","LUCA3","Non-Woody","Forb/Herb","Perennial"
"548","PG 1009",NA,NA,NA
"549","LULE3","Non-Woody","Forb/Herb","Perennial"
"550","PF172","Non-woody","Forb","Perennial"
"551","PF173","Non-woody","Forb","Perennial"
"552","PEHU","Non-Woody","Forb/Herb","Perennial"
"553","JUBA",NA,NA,NA
"554","CARO5","Non-Woody","Graminoid","Perennial"
"555","ARVA",NA,NA,NA
"556","BEIN2","Non-Woody","Forb/Herb","Annual"
"557","ARAR",NA,NA,NA
"558","CACH7",NA,NA,NA
"559","PAHY5",NA,NA,NA
"560","LUARS7",NA,NA,NA
"561","CALOC",NA,NA,NA
"562","ATRTR",NA,NA,NA
"563","CASTI2",NA,NA,NA
"564","CIVU","Non-Woody","Forb/Herb","Annual"
"565","MURI","Non-Woody","Graminoid","Perennial"
"566","GIBR","Non-Woody","Forb/Herb","Annual"
"567","AF05","Non-woody","Forb","Annual"
"568","ERVI5","Non-Woody","Forb/Herb","Annual"
"569","LOAT",NA,NA,NA
"570","AFO5",NA,NA,NA
"571","PF1015","Non-woody","Forb","Perennial"
"572","DUAN",NA,NA,NA
"573","LUAR4",NA,NA,NA
"574","ELWA2","Non-Woody","Graminoid","Perennial"
"575","AMUT","Woody","Shrub","Perennial"
"576","WYMO","Non-Woody","Forb/Herb","Perennial"
"577","ACLEL","Non-Woody","Graminoid","Perennial"
"578","PF1029","Non-woody","Forb","Perennial"
"579","CEMO2","Woody","Tree","Perennial"
"580","PHAU3","Non-Woody","Forb/Herb","Perennial"
"581","ERSI3","Non-Woody","Forb/Herb","Perennial"
"582","AMTE3","Non-Woody","Forb/Herb","Annual"
"583","CAAN7","Non-Woody","Forb/Herb","Perennial"
"584","PEOR6","Non-Woody","Forb/Herb","Perennial"
"585","DEDI11","Non-Woody","Forb/Herb","Perennial"
"586","SAEX","Woody","Tree","Perennial"
"587","LOMA","Non-Woody","Forb/Herb","Annual"
"588","NACA6","Non-Woody","Forb/Herb","Annual"
"589","ACLE8","Non-Woody","Graminoid","Perennial"
"590","PHHU","Non-Woody","Forb/Herb","Annual"
"591","PHLO4","Non-Woody","Forb/Herb","Perennial"
"592","MINA","Non-Woody","Forb/Herb","Annual"
"593","GAAM2","Non-Woody","Forb/Herb","Perennial"
"594","AF002","Non-woody","Forb","Annual"
"595","TROL","Non-Woody","Forb/Herb","Annual"
"596","LEMO4","Non-Woody","Forb/Herb","Perennial"
"597","PF069","Non-woody","Forb","Perennial"
"598","GR005",NA,NA,NA
"599","ALFI","Non-Woody","Forb/Herb","Perennial"
"600","BASE4","Non-Woody","Forb/Herb","Perennial"
"601","DEINI2","Non-Woody","Forb/Herb","Annual"
"602","PSSA2","Non-Woody","Graminoid","Perennial"
"603","ASLY",NA,NA,NA
"604","ERSU2",NA,NA,NA
"605","ERIOGSH",NA,NA,NA
"606","ARFR","Non-Woody","Forb/Herb","Perennial"
"607","PHHA","Non-Woody","Forb/Herb","Perennial"
"608","STMI13","Non-Woody","Forb/Herb","Perennial"
"609","AMARAAF",NA,NA,NA
"610","GAYOPAF",NA,NA,NA
"611","LATAP","Non-Woody","Forb/Herb","Perennial"
"612","PG03","Non-woody","Graminoid","Perennial"
"613","PG04","Non-woody","Graminoid","Perennial"
"614","SELAGPF",NA,NA,NA
"615","PERIDPF",NA,NA,NA
"616","LIDAM","Non-Woody","Forb/Herb","Perennial"
"617","VULPI",NA,NA,NA
"618","DESCU",NA,NA,NA
"619","ACHNA",NA,NA,NA
"620","JUNCUPG",NA,NA,NA
"621","GERAN",NA,NA,NA
"622","ELYMU",NA,NA,NA
"623","ALOPEPG",NA,NA,NA
"624","PHLOXPF",NA,NA,NA
"625","MYOSOAF",NA,NA,NA
"626","AF16","Non-woody","Forb","Annual"
"627","AF08","Non-woody","Forb","Annual"
"628","BROMUAG",NA,NA,NA
"629","IPMI2","Non-Woody","Forb/Herb","Annual"
"630","DRABAAF",NA,NA,NA
"631","ERIOG",NA,NA,NA
"632","WOODSPF",NA,NA,NA
"633","LATHYAF",NA,NA,NA
"634","CHJU","Non-Woody","Forb/Herb","Perennial"
"635","LEPID",NA,NA,NA
"636","TRISEPG",NA,NA,NA
"637","EPILOAF",NA,NA,NA
"638","MADIAAF",NA,NA,NA
"639","ERIOGPF",NA,NA,NA
"640","CASTI2PF",NA,NA,NA
"641","CHENOAF",NA,NA,NA
"642","ARENAPF",NA,NA,NA
"643","DESCUAF",NA,NA,NA
"644","PHACEAF",NA,NA,NA
"645","SOLIDPF",NA,NA,NA
"646","CIAR4","Non-Woody","Forb/Herb","Perennial"
"647","ARTEMPF",NA,NA,NA
"648","MYAR","Non-Woody","Forb/Herb","Annual"
"649","HYPE","Non-Woody","Forb/Herb","Perennial"
"650","AF000","Non-woody","Forb","Annual"
"651","SH000","Woody","Shrub","Perennial"
"652","VIVI","Non-Woody","Forb/Herb","Annual"
"653","AG000","Non-woody","Graminoid","Annual"
"654","MYST2","Non-Woody","Forb/Herb","Annual"
"655","CAFI","Non-Woody","Graminoid","Perennial"
"656","VIOLA",NA,NA,NA
"657","HEPU6","Non-Woody","Forb/Herb","Perennial"
"658","MYMI2","Non-Woody","Forb/Herb","Annual"
"659","PHSP10","Non-Woody","Forb/Herb","Perennial"
"660","DELPH",NA,NA,NA
"661","AF02","Non-woody","Forb","Annual"
"662","AF03","Non-woody","Forb","Annual"
"663","TRIFO",NA,NA,NA
"664","POTEN",NA,NA,NA
"665","IRIS",NA,NA,NA
"666","HECA7","Non-Woody","Forb/Herb","Perennial"
"667","CAQU2","Non-Woody","Forb/Herb","Perennial"
"668","LILE3","Non-Woody","Forb/Herb","Perennial"
"669","PEGA3","Non-Woody","Forb/Herb","Perennial"
"670","DODEC",NA,NA,NA
"671","LUSU5","Non-Woody","Forb/Herb","Perennial"
"672","ALPR3","Non-Woody","Graminoid","Perennial"
"673","LOAM","Non-Woody","Forb/Herb","Perennial"
"674","AMSIN",NA,NA,NA
"675","ASAG2","Non-Woody","Forb/Herb","Perennial"
"676","AF15","Non-woody","Forb","Annual"
"677","LATA","Non-Woody","Forb/Herb","Perennial"
"678","CAREX",NA,NA,NA
"679","IRMI","Non-Woody","Forb/Herb","Perennial"
"680","EQUIS",NA,NA,NA
"681","PECO6","Non-Woody","Forb/Herb","Perennial"
"682","TRCA5","Non-Woody","Forb/Herb","Annual"
"683","AF17","Non-woody","Forb","Annual"
"684","LOUN","Non-Woody","Forb/Herb","Annual"
"685","TRMI4","Non-Woody","Forb/Herb","Annual"
"686","GEVI2","Non-Woody","Forb/Herb","Annual"
"687","POTAM",NA,NA,NA
"688","SESE2","Non-Woody","Forb/Herb","Perennial"
"689","CENU2","Non-Woody","Forb/Herb","Annual"
"690","PLLE","Non-Woody","Forb/Herb","Annual"
"691","GEBI2","Non-Woody","Forb/Herb","Annual"
"692","CATE26","Non-Woody","Forb/Herb","Annual"
"693","AG03","Non-woody","Graminoid","Annual"
"694","LAOC3","Non-Woody","Forb/Herb","Annual"
"695","ASSP4","Non-Woody","Forb/Herb","Perennial"
"696","AF31","Non-woody","Forb","Annual"
"697","AF35","Non-woody","Forb","Annual"
"698","CLLI2","Non-Woody","Forb/Herb","Perennial"
"699","HECY2","Non-Woody","Forb/Herb","Perennial"
"700","GABO2","Non-Woody","Forb/Herb","Perennial"
"701","CHDO","Non-Woody","Forb/Herb","Perennial"
"702","MEOF","Non-Woody","Forb/Herb","Annual"
"703","URDI","Non-Woody","Forb/Herb","Perennial"
"704","AF62","Non-woody","Forb","Annual"
"705","POGR9","Non-Woody","Forb/Herb","Perennial"
"706","TRDU2","Non-Woody","Forb/Herb","Annual"
"707","VESE","Non-Woody","Forb/Herb","Perennial"
"708","ELRE4","Non-Woody","Graminoid","Perennial"
"709","PF000","Non-woody","Forb","Perennial"
"710","PG000","Non-woody","Graminoid","Perennial"
"711","SYAS3","Non-Woody","Forb/Herb","Perennial"
"712","GNPA","Non-Woody","Forb/Herb","Annual"
"713","AF69","Non-woody","Forb","Annual"
"714","STPA2","Non-Woody","Forb/Herb","Annual"
"715","LOAR5","Non-Woody","Forb/Herb","Annual"
"716","SYSP","Non-Woody","Forb/Herb","Perennial"
"717","MYAP","Non-Woody","Forb/Herb","Annual"
"718","PYCA3","Non-Woody","Forb/Herb","Perennial"
"719","SOCA6","Non-Woody","Forb/Herb","Perennial"
"720","AGOC2","Non-Woody","Forb/Herb","Perennial"
"721","SANI4","Woody","Tree","Perennial"
"722","MEDI","Non-Woody","Forb/Herb","Annual"
"723","CABO7","Non-Woody","Forb/Herb","Annual"
"724","PONE2","Non-Woody","Graminoid","Perennial"
"725","CAPE7","Non-Woody","Graminoid","Perennial"
"726","BAPR5","Woody","Subshrub","Perennial"
"727","PF65","Non-woody","Forb","Perennial"
"728","SH00","Woody","Shrub","Perennial"
"729","GIIN2","Non-Woody","Forb/Herb","Annual"
"730","PF03","Non-woody","Forb","Perennial"
"731","THFL3","Non-Woody","Forb/Herb","Perennial"
"732","LUSAS","Non-Woody","Forb/Herb","Perennial"
"733","ARSP","Non-Woody","Forb/Herb","Perennial"
"734","MAGL2","Non-Woody","Forb/Herb","Annual"
"735","MINU4","Non-Woody","Forb/Herb","Perennial"
"736","MOOD","Non-Woody","Forb/Herb","Perennial"
"737","LUSU10","Non-Woody","Forb/Herb","Annual"
"738","LORA","Non-Woody","Forb/Herb","Perennial"
"739","ORFA","Non-Woody","Forb/Herb","Annual"
"740","CANU4","Non-Woody","Forb/Herb","Perennial"
"741","ERST9","Woody","Subshrub","Perennial"
"742","PLMA3","Non-Woody","Forb/Herb","Perennial"
"743","AF230","Non-woody","Forb","Annual"
"744","COLI","Non-Woody","Forb/Herb","Annual"
"745","ASLEL3","Non-Woody","Forb/Herb","Perennial"
"746","MISU2","Non-Woody","Forb/Herb","Annual"
"747","CAAU2","Non-Woody","Forb/Herb","Annual"
"748","ASLES","Non-Woody","Forb/Herb","Perennial"
"749","ALGI","Non-Woody","Forb/Herb","Annual"
"750","AF5019","Non-woody","Forb","Annual"
"751","TRGY","Non-Woody","Forb/Herb","Perennial"
"752","PHHOM","Non-Woody","Forb/Herb","Perennial"
"753","PF3021","Non-woody","Forb","Perennial"
"754","PG3021","Non-woody","Graminoid","Perennial"
"755","AF1012","Non-woody","Forb","Annual"
"756","POAV","Non-Woody","Forb/Herb","Annual"
"757","EANI","Non-Woody","Forb/Herb","Annual"
"758","ELRO2","Non-Woody","Graminoid","Perennial"
"759","LIAC2","Non-Woody","Forb/Herb","Annual"
"760","PHLE4","Woody","Shrub","Perennial"
"761","DOEL","Non-Woody","Forb/Herb","Annual"
"762","AG1005","Non-woody","Graminoid","Annual"
"763","ELPA3","Non-Woody","Graminoid","Perennial"
"764","JUHEA","Non-Woody","Graminoid","Annual"
"765","VEPE2","Non-Woody","Forb/Herb","Annual"
"766","PG1006","Non-woody","Graminoid","Perennial"
"767","AF5021","Non-woody","Forb","Annual"
"768","POHE2","Non-Woody","Forb/Herb","Annual"
"769","CREC","Non-Woody","Forb/Herb","Annual"
"770","LUNE","Non-Woody","Forb/Herb","Perennial"
"771","AF4004","Non-woody","Forb","Annual"
"772","AF3020","Non-woody","Forb","Annual"
"773","LUHO2",NA,NA,NA
"774","ELLA3","Non-Woody","Graminoid","Perennial"
"775","PG1002","Non-woody","Graminoid","Perennial"
"776","AF5009","Non-woody","Forb","Annual"
"777","ACWE3","Non-Woody","Graminoid","Perennial"
"778","SAVE","Woody","Shrub","Perennial"
"779","AF401","Non-woody","Forb","Annual"
"780","ASBE3","Non-Woody","Forb/Herb","Perennial"
"781","ALSI2","Non-Woody","Forb/Herb","Perennial"
"782","SEINM","Non-Woody","Forb/Herb","Perennial"
"783","GASE2","Non-Woody","Forb/Herb","Perennial"
"784","AF808","Non-woody","Forb","Annual"
"785","SH807","Woody","Shrub","Perennial"
"786","AF612","Non-woody","Forb","Annual"
"787","CROCO2","Non-Woody","Forb/Herb","Annual"
"788","AF822","Non-woody","Forb","Annual"
"789","PF612","Non-woody","Forb","Perennial"
"790","AF821","Non-woody","Forb","Annual"
"791","RIIN2","Woody","Shrub","Perennial"
"792","RIVE","Woody","Shrub","Perennial"
"793","SALU2","Woody","Tree","Perennial"
"794","CIOC","Non-Woody","Forb/Herb","Perennial"
"795","PHSC5","Non-Woody","Forb/Herb","Annual"
"796","ERRE4","Non-Woody","Forb/Herb","Annual"
"797","ERRE5","Non-Woody","Forb/Herb","Perennial"
"798","OEPA","Non-Woody","Forb/Herb","Perennial"
"799","GATR3","Non-Woody","Forb/Herb","Perennial"
"800","RUCR","Non-Woody","Forb/Herb","Perennial"
"801","AF824","Non-woody","Forb","Annual"
"802","AG606","Non-woody","Graminoid","Annual"
"803","PF642","Non-woody","Forb","Perennial"
"804","GADE2","Non-Woody","Forb/Herb","Annual"
"805","TRVA","Non-Woody","Forb/Herb","Annual"
"806","CAPR14","Non-Woody","Forb/Herb","Perennial"
"807","KRLA2","Woody","Subshrub","Perennial"
"808","PORI3","Non-Woody","Forb/Herb","Annual"
"809","ARKIC","Non-Woody","Forb/Herb","Perennial"
"810","GISI","Non-Woody","Forb/Herb","Annual"
"811","ERSP4","Non-Woody","Forb/Herb","Perennial"
"812","MUFI2","Non-Woody","Graminoid","Annual"
"813","MARA7","Non-Woody","Forb/Herb","Perennial"
"814","PHGL2","Non-Woody","Forb/Herb","Annual"
"815","AF1011","Non-woody","Forb","Annual"
"816","PF1024","Non-woody","Forb","Perennial"
"817","PECU","Non-Woody","Forb/Herb","Perennial"
"818","ORCO5","Non-Woody","Forb/Herb","Annual"
"819","AF1014","Non-woody","Forb","Annual"
"820","PENST",NA,NA,NA
"821","CANE2","Non-Woody","Graminoid","Perennial"
"822","ORLU2","Non-Woody","Forb/Herb","Annual"
"823","LUAR7","Non-Woody","Forb/Herb","Perennial"
"824","AF3014","Non-woody","Forb","Annual"
"825","LUARA3","Non-Woody","Forb/Herb","Perennial"
"826","ONAC","Non-Woody","Forb/Herb","Annual"
"827","PF3001","Non-woody","Forb","Perennial"
"828","AF3001","Non-woody","Forb","Annual"
"829","PF6002","Non-woody","Forb","Perennial"
"830","LEVI3","Non-Woody","Forb/Herb","Annual"
"831","SH3001","Woody","Shrub","Perennial"
"832","AF3006","Non-woody","Forb","Annual"
"833","AG3001","Non-woody","Graminoid","Annual"
"834","CRPT","Non-Woody","Forb/Herb","Annual"
"835","HAMI","Non-Woody","Forb/Herb","Perennial"
"836","AF2019","Non-woody","Forb","Annual"
"837","ARLO6","Non-Woody","Forb/Herb","Perennial"
"838","TRCA21","Non-Woody","Graminoid","Perennial"
"839","MIGRH","Non-Woody","Forb/Herb","Annual"
"840","LOBIL","Non-Woody","Forb/Herb","Perennial"
"841","CAEU","Non-Woody","Forb/Herb","Perennial"
"842","PG1001","Non-woody","Graminoid","Perennial"
"843","CAFL7","Non-Woody","Forb/Herb","Perennial"
"844","PF1006","Non-woody","Forb","Perennial"
"845","ANFI3","Non-Woody","Forb/Herb","Annual"
"846","SH02","Woody","Shrub","Perennial"
"847","AF1015","Non-woody","Forb","Annual"
"848","LUARM4","Non-Woody","Forb/Herb","Perennial"
"849","AF1019","Non-woody","Forb","Annual"
"850","EUEL2","Non-Woody","Forb/Herb","Perennial"
"851","AF1013","Non-woody","Forb","Annual"
"852","LIPAP3","Non-Woody","Forb/Herb","Perennial"
"853","ELAN","Woody","Tree","Perennial"
"854","CLRU2","Non-Woody","Forb/Herb","Annual"
"855","NEME","Non-Woody","Forb/Herb","Annual"
"856","AF6101","Non-woody","Forb","Annual"
"857","SYLO","Woody","Shrub","Perennial"
"858","AF5003","Non-woody","Forb","Annual"
"859","PG3001","Non-woody","Graminoid","Perennial"
"860","TRVE6","Non-Woody","Forb/Herb","Annual"
"861","PG5007","Non-woody","Graminoid","Perennial"
"862","AF1002","Non-woody","Forb","Annual"
"863","MODI2","Non-Woody","Forb/Herb","Annual"
"864","AF4002","Non-woody","Forb","Annual"
"865","ORUN","Non-Woody","Forb/Herb","Annual"
"866","GYPA2","Non-Woody","Forb/Herb","Annual"
"867","TROW","Non-Woody","Forb/Herb","Perennial"
"868","PG3002","Non-woody","Graminoid","Perennial"
"869","ASSA4","Non-Woody","Forb/Herb","Perennial"
"870","TRGR2","Non-Woody","Forb/Herb","Annual"
"871","SH01","Woody","Shrub","Perennial"
"872","POAS",NA,NA,NA
"873","CREPI",NA,NA,NA
"874","PAPS",NA,NA,NA
"875","LOWA","Non-Woody","Forb/Herb","Perennial"
"876","HOLA","Non-Woody","Graminoid","Perennial"
"877","BRJA",NA,NA,NA
"878","POBI",NA,NA,NA
"879","SYOR",NA,NA,NA
"880","POGR",NA,NA,NA
"881","ASSU",NA,NA,NA
"882","PESP","Non-Woody","Forb/Herb","Perennial"
"883","LULE",NA,NA,NA
"884","LELA",NA,NA,NA
"885","PG02","Non-woody","Graminoid","Perennial"
"886","DEOC","Non-Woody","Forb/Herb","Perennial"
"887","PG05","Non-woody","Graminoid","Perennial"
"888","MEMO",NA,NA,NA
"889","ASSU7","Non-Woody","Forb/Herb","Perennial"
"890","PHRA2","Non-Woody","Forb/Herb","Perennial"
"891","AF3008","Non-woody","Forb","Annual"
"892","PF4004","Non-woody","Forb","Perennial"
"893","PF3030","Non-woody","Forb","Perennial"
"894","AF1008","Non-woody","Forb","Annual"
"895","ASER4","Non-Woody","Forb/Herb","Perennial"
"896","LOCU","Non-Woody","Forb/Herb","Perennial"
"897","CHGL13","Non-Woody","Forb/Herb","Annual"
"898","AF3011","Non-woody","Forb","Annual"
"899","JUAC","Non-Woody","Graminoid","Perennial"
"900","LOTRT","Non-Woody","Forb/Herb","Perennial"
"901","ASATO","Non-Woody","Forb/Herb","Perennial"
"902","CRBA2","Non-Woody","Forb/Herb","Perennial"
"903","PF602","Non-woody","Forb","Perennial"
"904","DEPII","Non-Woody","Forb/Herb","Annual"
"905","PG606","Non-woody","Graminoid","Perennial"
"906","SPCO","Non-Woody","Forb/Herb","Perennial"
"907","AG605","Non-woody","Graminoid","Annual"
"908","CACH42","Woody","Shrub","Perennial"
"909","SH615","Woody","Shrub","Perennial"
"910","PF660","Non-woody","Forb","Perennial"
"911","PECA12","Woody","Subshrub","Perennial"
"912","AG402","Non-woody","Graminoid","Annual"
"913","PF415","Non-woody","Forb","Perennial"
"914","AF416","Non-woody","Forb","Annual"
"915","POSEJ",NA,NA,NA
"916","ORLU","Non-Woody","Forb/Herb","Annual"
"917","STLO","Non-Woody","Forb/Herb","Perennial"
"918","AF43","Non-woody","Forb","Annual"
"919","MESU","Non-Woody","Graminoid","Perennial"
"920","ARBI2","Non-Woody","Forb/Herb","Annual"
"921","LIDA","Non-Woody","Forb/Herb","Perennial"
"922","ASSP","Non-Woody","Forb/Herb","Perennial"
"923","CHDOD","Non-Woody","Forb/Herb","Perennial"
"924","ORBA2",NA,NA,NA
"925","CIIN","Non-Woody","Forb/Herb","Perennial"
"926","PG19","Non-woody","Graminoid","Perennial"
"927","DEDA","Non-Woody","Graminoid","Annual"
"928","THAR5","Non-Woody","Forb/Herb","Annual"
"929","AF38","Non-woody","Forb","Annual"
"930","AF37","Non-woody","Forb","Annual"
"931","PG16","Non-woody","Graminoid","Perennial"
"932","LIVU2","Non-Woody","Forb/Herb","Perennial"
"933","ERELE","Non-Woody","Forb/Herb","Perennial"
"934","AIAL","Woody","Tree","Perennial"
"935","CYFR2","Non-Woody","Forb/Herb","Perennial"
"936","SASC","Woody","Tree","Perennial"
"937","VAMY2","Woody","Subshrub","Perennial"
"938","RIHU","Woody","Shrub","Perennial"
"939","PF75","Non-woody","Forb","Perennial"
"940","TR000","Woody","Tree tree","Perennial"
"941","MARE11","Woody","Subshrub","Perennial"
"942","SH210","Woody","Shrub","Perennial"
"943","ARCO9","Non-Woody","Forb/Herb","Perennial"
"944","EUCO36","Non-Woody","Forb/Herb","Perennial"
"945","CEBE2","Non-Woody","Forb/Herb","Perennial"
"946","POGR8","Non-Woody","Forb/Herb","Perennial"
"947","ASRE6","Non-Woody","Forb/Herb","Perennial"
"948","ASMIM4",NA,NA,NA
"949","AF29","Non-woody","Forb","Annual"
"950","AF50","Non-woody","Forb","Annual"
"951","PG24","Non-woody","Graminoid","Perennial"
"952","PEPR3",NA,NA,NA
"953","LAOC","Woody","Tree","Perennial"
"954","AF64","Non-woody","Forb","Annual"
"955","NAIN2","Non-Woody","Forb/Herb","Annual"
"956","AF63","Non-woody","Forb","Annual"
"957","ALSA3","Non-Woody","Graminoid","Annual"
"958","ANMA","Non-Woody","Forb/Herb","Perennial"
"959","PF69","Non-woody","Forb","Perennial"
"960","RUAC2","Non-Woody","Forb/Herb","Perennial"
"961","SH209","Woody","Shrub","Perennial"
"962","CAMO32","Non-Woody","Forb/Herb","Perennial"
"963","CAMI7","Non-Woody","Graminoid","Perennial"
"964","CATH4","Non-Woody","Forb/Herb","Perennial"
"965","AF13","Non-woody","Forb","Annual"
"966","PF214","Non-woody","Forb","Perennial"
"967","PECO","Non-Woody","Forb/Herb","Perennial"
"968","HEUND","Non-Woody","Forb/Herb","Perennial"
"969","BRVU","Non-Woody","Graminoid","Perennial"
"970","DAGL","Non-Woody","Graminoid","Perennial"
"971","PG22","Non-woody","Graminoid","Perennial"
"972","ASOF","Non-Woody","Forb/Herb","Perennial"
"973","AF56","Non-woody","Forb","Annual"
"974","CAPU6","Non-Woody","Forb/Herb","Perennial"
"975","AF245","Non-woody","Forb","Annual"
"976","SCAN4","Non-Woody","Forb/Herb","Perennial"
"977","CAPR7","Non-Woody","Graminoid","Perennial"
"978","AG300","Non-woody","Graminoid","Annual"
"979","PFO2",NA,NA,NA
"980","PF04","Non-woody","Forb","Perennial"
"981","PF404","Non-woody","Forb","Perennial"
"982","PF87","Non-woody","Forb","Perennial"
"983","LUSA2","Non-Woody","Forb/Herb","Perennial"
"984","LELI14","Non-Woody","Forb/Herb","Annual"
"985","GAPA5","Non-Woody","Forb/Herb","Annual"
"986","CAMAM9","Non-Woody","Forb/Herb","Perennial"
"987","ARSPS2","Non-Woody","Forb/Herb","Perennial"
"988","PF275","Non-woody","Forb","Perennial"
"989","ARTRT2","Woody","Shrub","Perennial"
"990","LECO3","Non-Woody","Forb/Herb","Perennial"
"991","AF223","Non-woody","Forb","Annual"
"992","POLYG4AF",NA,NA,NA
"993","POPOP3","Non-Woody","Forb/Herb","Annual"
"994","EPDE4","Non-Woody","Forb/Herb","Annual"
"995","PODOM2","Non-Woody","Forb/Herb","Annual"
"996","PHAL2","Non-Woody","Graminoid","Perennial"
"997","HOBR2","Non-Woody","Graminoid","Perennial"
"998","PF1012","Non-woody","Forb","Perennial"
"999","SEHY2","Non-Woody","Forb/Herb","Perennial"
"1000","CHFR3","Non-Woody","Forb/Herb","Annual"
"1001","PF609","Non-woody","Forb","Perennial"
"1002","ASMA8","Non-Woody","Forb/Herb","Perennial"
"1003","AF1001","Non-woody","Forb","Annual"
"1004","SH2001","Woody","Shrub","Perennial"
"1005","ERCOC8","Non-Woody","Forb/Herb","Perennial"
"1006","PG615","Non-woody","Graminoid","Perennial"
"1007","SH614","Woody","Shrub","Perennial"
"1008","PG610","Non-woody","Graminoid","Perennial"
"1009","PF414","Non-woody","Forb","Perennial"
"1010","AF68","Non-woody","Forb","Annual"
"1011","AG11","Non-woody","Graminoid","Annual"
"1012","ALDE",NA,NA,NA
"1013","CETE5",NA,NA,NA
"1014","COPA3",NA,NA,NA
"1015","MIGR",NA,NA,NA
"1016","IVAX",NA,NA,NA
"1017","LEPE2",NA,NA,NA
"1018","LODO2",NA,NA,NA
"1019","DENU2",NA,NA,NA
"1020","LOVA",NA,NA,NA
"1021","SIAL2",NA,NA,NA
"1022","LOMA3",NA,NA,NA
"1023","ALTO",NA,NA,NA
"1024","PHHO",NA,NA,NA
"1025","ASCU4",NA,NA,NA
"1026","EROV",NA,NA,NA
"1027","CRIN4",NA,NA,NA
"1028","ALAC4",NA,NA,NA
"1029","PLMA4",NA,NA,NA
"1030","ASPU9",NA,NA,NA
"1031","ERPO2",NA,NA,NA
"1032","DEPI",NA,NA,NA
"1033","TECA2",NA,NA,NA
"1034","ARSP",NA,NA,NA
"1035","ERNA10",NA,NA,NA
"1036","ACMI2",NA,NA,NA
"1037","SEIN2",NA,NA,NA
"1038","PHLO2",NA,NA,NA
"1039","HYCA4",NA,NA,NA
"1040","ANLU2",NA,NA,NA
"1041","LONU2",NA,NA,NA
"1042","ROSASH",NA,NA,NA
"1043","NABR",NA,NA,NA
"1044","MOLI4",NA,NA,NA
"1045","CRWA2",NA,NA,NA
"1046","CICY",NA,NA,NA
"1047","MEAL6",NA,NA,NA
"1048","SCNA",NA,NA,NA
"1049","SIOR",NA,NA,NA
"1050","NEPE",NA,NA,NA
"1051","LUCA",NA,NA,NA
"1052","LOTR2",NA,NA,NA
"1053","LIPA5",NA,NA,NA
"1054","CHDO",NA,NA,NA
"1055","TRMA3",NA,NA,NA
"1056","ANDI2",NA,NA,NA
"1057","ZIPA2",NA,NA,NA
"1058","ERCO5",NA,NA,NA
"1059","LALA3",NA,NA,NA
"1060","BAHO",NA,NA,NA
"1061","LIRU4",NA,NA,NA
"1062","EPBR3",NA,NA,NA
"1063","LITE4",NA,NA,NA
"1064","ALLE3",NA,NA,NA
"1065","LUBR2",NA,NA,NA
"1066","ERLI",NA,NA,NA
"1067","PHCH",NA,NA,NA
"1068","ASLE8",NA,NA,NA
"1069","ARHO2",NA,NA,NA
"1070","AGHE2",NA,NA,NA
"1071","ERPU2",NA,NA,NA
"1072","CRCI2",NA,NA,NA
"1073","LERE7",NA,NA,NA
"1074","AMME",NA,NA,NA
"1075","VIBE2",NA,NA,NA
"1076","BLSC",NA,NA,NA
"1077","CRIN8",NA,NA,NA
"1078","DRVE2",NA,NA,NA
"1079","HOUM",NA,NA,NA
"1080","LULE2",NA,NA,NA
"1081","NOTR2",NA,NA,NA
"1082","MINU",NA,NA,NA
"1083","LOCO4",NA,NA,NA
"1084","CAPI3",NA,NA,NA
"1085","ERBLB",NA,NA,NA
"1086","PEDE4",NA,NA,NA
"1087","ASOB4",NA,NA,NA
"1088","ARCA7",NA,NA,NA
"1089","CROC",NA,NA,NA
"1090","ERST4",NA,NA,NA
"1091","FRAT",NA,NA,NA
"1092","SPMU2",NA,NA,NA
"1093","LAGL5",NA,NA,NA
"1094","GARA2",NA,NA,NA
"1095","ANMI3",NA,NA,NA
"1096","CRAC2",NA,NA,NA
